time,pitch,velocity,duration
0.0,69,61,0.72
0.1,71,55,0.6
0.2,69,72,0.9400000000000001
0.30000000000000004,71,61,0.72
0.4,65,55,0.6
0.5,65,72,0.9400000000000001
0.6000000000000001,69,88,1.27
0.7000000000000001,64,61,0.72
0.8,62,55,0.6
0.9,67,72,0.9400000000000001
1.0,64,88,1.27
1.1,60,61,0.72
1.2000000000000002,60,55,0.6
1.3,62,72,0.9400000000000001
1.4000000000000001,67,61,0.72
1.5,64,55,0.6
1.6,60,72,0.9400000000000001
1.7000000000000002,60,61,0.72
1.8,60,55,0.6
1.9000000000000001,62,72,0.9400000000000001
2.0,67,88,1.27
2.1,71,61,0.72
2.2,65,83,1.1600000000000001
2.3000000000000003,69,66,0.8300000000000001
2.4000000000000004,64,55,0.6
2.5,62,77,1.05
2.6,67,83,1.1600000000000001
2.7,64,66,0.8300000000000001
2.8000000000000003,60,55,0.6
2.9000000000000004,60,55,0.6
3.0,60,77,1.05
3.1,62,83,1.1600000000000001
3.2,67,66,0.8300000000000001
3.3000000000000003,71,55,0.6
3.4000000000000004,65,77,1.05
3.5,65,83,1.1600000000000001
3.6,69,66,0.8300000000000001
3.7,64,55,0.6
3.8000000000000003,62,55,0.6
3.9000000000000004,67,77,1.05
4.0,71,83,1.1600000000000001
4.1000000000000005,65,94,1.3800000000000001
4.2,69,72,0.9400000000000001
4.3,71,88,1.27
4.4,69,61,0.72
4.5,71,55,0.6
4.6000000000000005,69,72,0.9400000000000001
4.7,71,88,1.27
4.800000000000001,69,61,0.72
4.9,71,83,1.1600000000000001
